Job Name,Salary Description,Skills,City Name,Job Degree
嵌入式开发工程师（IOT物联网）,20-40K·13薪,"['C', 'RTOS', 'STM32开发', '计算机相关专业', '嵌入式/单片机开发经验', 'MQTT', '物联网', '视频对讲']",深圳,本科
物联网协议开发工程师,8-12K,"['Java', 'Spring', 'SpringCloud', 'MySQL', 'Redis', '物联网经验']",邯郸,本科
Java开发工程师（物联网方向）,12-16K,"['Java', 'Spring', 'MySQL', 'MongoDB', 'Redis', '不接受居家办公', 'Spring Boot', 'Flask', 'Spring MVC']",广州,本科
iot开发工程师,10-15K·14薪,"['C++', 'C', 'Java', 'Linux开发/部署经验', '音视频经验']",深圳,本科
物联网软件开发工程师（建筑能耗监控系统）,7-11K,"['架构师', 'Java', 'MySQL', '计算机/软件工程相关经验', 'Java开发经验', '能耗监测系统']",乌鲁木齐,大专
iot测试工程师,10-15K,"['功能测试', '自动化测试', '自动化测试经验', '嵌入式测试']",苏州,本科
高级Java开发工程师（IOT）(J13047),20-35K·15薪,"['Java', 'Spring', 'SpringCloud', 'MySQL', '不接受居家办公', '分布式经验', '物联网经验', '微服务经验']",深圳,本科
物联网开发工程师,7-10K,"['Java', 'Python', 'MySQL', '分布式系统开发经验', '中大型项目架构设计经验', '大数据处理经验', '可兼职']",太原,本科
物联网系统平台JAVA开发工程师,8-13K,"['Java', 'Spring', 'Netty', 'Hibernate', 'MySQL', 'Redis', '不接受居家办公', '云计算经验', '物联网经验', '架构设计经验']",佛山,本科
物联网开发工程师（Netty方向）,15-25K,"['Java', 'Netty', 'MySQL', 'TCP', 'Socket']",苏州,大专
物联网开发工程师,10-13K,"['Java', 'C', 'Python', 'Spring', 'SpringCloud', 'Kafka', 'MySQL', 'Redis', 'MongoDB', '架构设计经验', '微服务经验', '物联网经验']",兰州,本科
IOT邀约专员,4-8K·13薪,"['个人（To C）', '客户邀约', '售后服务', '沟通能力强', '销售经验', '互联网/科技', 'O2O', '其他产品/服务', '软件/企业服务产品']",昆明,大专
IOT数据采集工程师,10-15K·13薪,"['Python', 'Java']",宁波,本科
iot开发工程师,20-40K·16薪,"['Jenkins', 'Linux', '分布式技术', 'Netty', '后端工程师', '容器技术', 'Spring', '网络编程', 'iot']",嘉兴,本科
物联网协议开发工程师,8-13K,['物联网中台'],杭州,本科
物联网工程师,8-13K,"['微服务架构', '中级软件工程师', '后端开发']",西安,大专
